இலக்கம்,பெயர்,அறிமுக வருடம்,அறிமுக படம்,பிறந்த திகதி,பிறந்த இடம்,அறிமுகம்,உள்ளடக்கம்
11,சரோஜாதேவி,,,1938-01-07,"கர்நாடகா, இந்தியா","பி. சரோஜாதேவி ஒரு இந்தியத் திரைப்பட நடிகை ஆவார். தமிழ், தெலுங்கு மொழித் திரைப்படங்களில் நடித்துள்ளார். கர்நாடகத்தைச் சேர்ந்த சரோஜாதேவி, ஐம்பதாண்டு காலமாக திரைப்படத் துறையில் உள்ளார்; 200 படங்களுக்கு மேல் நடித்துள்ளார். திரைப்படத்துறையினரால் “கன்னடத்துப் பைங்கிளி”, “அபிநய சரசுவதி” போன்ற அடைமொழிகளால் அழைக்கப்படுகிறார். பல திரைப்பட விருதுகளையும், இந்திய அரசின் பத்மபூஷன், பத்மஸ்ரீ விருதுகளையும் வென்றுள்ளார்.இவர் ஒக்காலிகா்கவுண்டா் சமூகத்தில் பிறந்தவர். [சான்று தேவை]","சரோஜா தேவி உண்மைப் பெயர் ராதாதேவி கவுடா பெங்களூர், மைசூர் ராஜ்ஜியத்தில் பிறந்தார்  (இப்போது பெங்களூரு, கர்நாடகம் 7 ஜனவரி 1938 இல்) அவரது தந்தை பைரப்பா காவல் துறையில் பணிபுரிந்தார், அவரது தாயார் ருத்ரம்மா ஒரு ஹோம்மேக்கர் ஆவார். அவர்களின் நான்காவது மகளாவார். பைரப்பா அவரிடம் நடனம் கற்றுக் கொள்ளும்படி கேட்டார், மேலும் நடிப்பை ஒரு தொழிலாக எடுத்துக் கொள்ள ஊக்குவித்தார். ஒரு இளம் சரோஜா தேவி தனது தந்தையுடன் அடிக்கடி ஸ்டுடியோக்களுக்கு வந்திருந்தார், அவர் பொறுமையாக அவரது சலங்கைகளைக் கட்டிக்கொண்டு, அவர் நடனமாடிய பிறகு வீங்கிய கால்களை மசாஜ் செய்வார். அவரது தாயார் அவருக்கு ஒரு கண்டிப்பான ஆடைக் குறியீட்டைக் கொடுத்தார்: நீச்சலுடைகள் மற்றும் அறைகுறை ஆடைகள் அணிந்து நடிப்பதைத் தவிர்ப்பது போன்ற கட்டுப்பாடுகள் ஆகும், அவர் தனது வாழ்நாள் முழுவதும் அதைப் பின்பற்றினார். பி.ஆர். கிருஷ்ணமூர்த்தி தனது 13 வயதில் ஒரு விழாவில் பாடும்போது அவர் முதலில் காணப்பட்டார், ஆனால் அவர் திரைப்பட வாய்ப்பை மறுத்துவிட்டார்."
12,தேவிகா,,,1943-04-25,சென்னை,"தேவிகா (ஏப்ரல் 25, 1943 - மே 2, 2002) தென்னிந்தியத் திரைப்பட நடிகை ஆவார். இவர் தமிழிலும், தெலுங்கிலும் ஏறத்தாழ 150 திரைப்படங்களில் நடித்தார். இவர் சிவாஜி கணேசன், எம். ஜி. ஆர் போன்றோருடன் நடித்திருந்தார்.","இவரது பூர்விகம் ஆந்திரா. இவர் இயற்பெயர் பிரமீளா. தமிழ்த் திரைப்பட இயக்குநரான ஏ. பீம்சிங்கிடம் துணை இயக்குநராகப் பணியாற்றிய தேவதாசைத் திருமணம் செய்துகொண்டார். தேவிகா தெலுங்கு திரையுலகில் பிரபலமான ரகுபதி வெங்கய்யா நாயுடு என்பவரின் பேர்த்தி ஆவார். தேவிகாவின் மகள் கனகா தமிழ், மலையாள, கன்னட, தெலுங்கு திரைப்படங்களில் நடித்துள்ளார்."
13,ராஜசுலோசனா,,,1935-08-15,"விசயவாடா, சென்னை மாகாணம்","ராஜசுலோசனா (Rajasulochana, தெலுங்கு: రాజసులోచన, ஆகத்து 15, 1935 - மார்ச் 5, 2013, அகவை 77) பழம்பெரும் தமிழ்த் திரைப்பட நடிகை. 275-க்கும் மேற்பட்ட தமிழ், தெலுங்கு, கன்னடம், இந்தி மொழி திரைப்படங்களில் நடித்தவர்.",ராஜசுலோசனா 1935 ஆம் ஆண்டில் சித்தூரில் பிறந்தார். திரைப்பட நடிகர் மற்றும் இயக்குனரான சி.எஸ்.ராவ் என்பவரை மணந்தார். 17 வயதில் நடிக்க வந்த இவர் 1953-ல் குணசாகரி என்ற கன்னடப் படத்தில் அறிமுகமாகி தமிழில் சத்யசோதனை படம் மூலம் தமிழுக்கு அறிமுகமானார்.
14,ஜி. வரலட்சுமி,,,1926-09-27,"ஓங்கோல், ஆந்திரப் பிரதேசம், இந்தியா","ஜி. வரலட்சுமி (G. Varalakshmi, தெலுங்கு: జి.వరలక్ష్మి) என அழைக்கப்படும் கரிக்கப்பட்டி வரலட்சுமி (Garikapati Varalakshmi, செப்டம்பர் 27, 1926[1] - நவம்பர் 26, 2006)[2][3] தமிழ் மற்றும் தெலுங்கு மொழிகளின், மேடை நடிகையாகவும், திரைப்பட கதாநாயகி மற்றும் இயக்குனராகவும் அறியப்படுகிறார். குணச்சித்திர பாத்திரங்களும் நடித்த ஜி.வரலட்சுமி, பின்னணியும் பாடியுள்ளார்.","ஜி. வரலட்சுமி, ஆந்திர பிரதேசம் ஓங்கோல் எனும் பகுதியில் நாயுடு குடும்பத்தில் 1926 செப்டம்பர் 27[4] ஆம் திகதி சுப்பராமய்ய நாயுடுவின் இரண்டாவது புதல்வியாகப் பிறந்தார் வரலட்சுமி.[1] இவருக்கு முன்னும் பின்னும் இரு சகோதரிகள். இவரது இளமைப் பருவம் குண்டூரில் கழிந்தது. உள்ளூர் கான்வெண்டில் படித்தார், ஆனாலும் படிப்பில் ஆர்வம் செலுத்தவில்லை. பள்ளியில் படிக்கும் போதே தந்தை இறந்து விட்டார்.[1]"
15,ஜெயலலிதா,1965,வெண்ணிற ஆடை,1948-02-24,"மேல்கோட்டை, மைசூர், இந்தியா","ஜெ. ஜெயலலிதா (J. Jayalalithaa, 24 பிப்ரவரி 1948 - 5 டிசம்பர் 2016), முன்னாள் தமிழக முதல்வரும், அரசியல் தலைவரும், பிரபல முன்னாள் தென்னிந்தியத் திரைப்பட நடிகையும் ஆவார். இவர் தமிழக முதலமைச்சராக ஐந்து முறை  பதவி வகித்துள்ளார். இவர் 1991 முதல் 1996 வரையும், 2001 ஆம் ஆண்டில் சில மாதங்களும், பின்னர் 2002 முதல் 2006 வரையும், 2011 முதல் 2014 வரையும் இருந்தார். 2015 மே 23 முதல் இறக்கும் வரையில் (5 திசம்பர் 2016) முதலமைச்சராகப் பணி புரிந்தார். அண்ணா திராவிட முன்னேற்றக் கழகத்தின் பொதுச் செயலாளராக இருந்த இவரை ""புரட்சித் தலைவி"" எனவும் ""அம்மா"" எனவும் இவரது ஆதரவாளர்கள் அழைத்தனர்.தனது தொட்டில் குழந்தை திட்டத்துக்காக ஐக்கிய நாடுகள் சபையில் (ஐ.நா சபை) மத்தியில் கைதட்டைப் பெற்ற இந்தியாவை சார்ந்த முதல் பெண் முதலமைச்சர் இவரே ஆவார்.[2][3][4]","அரசியலுக்கு நுழைவதற்கு முன்னர் இவர் 120 க்கும் மேற்பட்ட தமிழ், தெலுங்கு, கன்னட மொழித் திரைப்படங்களில் முன்னணிப் பாத்திரங்களில் நடித்திருந்தார்."
16,நிர்மலா,1965,வெண்ணிற ஆடை,1948-06-28,"கும்பகோணம், தஞ்சாவூர் மாவட்டம்,சென்னை மாகாணம்","வெண்ணிற ஆடை நிர்மலா (இயற்பெயர்: ஏ. பி. சாந்தி), கும்பகோணத்தில் பிறந்த இவர், 65-களில் வெளியானவெண்ணிற ஆடை என்ற திரைப்படத்தில் நடிகையாக அறிமுகமானார். சுமார் 200 படங்களில் நடித்துள்ள இவர், மலையாளத்தில் உசா குமாரி என அறியப்பட்டார். இவர் ஒரு பரதநாட்டிய கலைஞரும் ஆவார்.[1][2]",
17,லதா,,,1953-06-07,"தமிழ்நாடு, இந்தியா","லதா இந்திய திரைப்பட நடிகையாவார். இவர் எம்.ஜி.ஆர் லதா, லதா சேதுபதி என்றும் அறியப்படுகிறார். இவர் 1970கள் மற்றும் 1980களில் புகழ்பெற்ற நடிகையாக தென்னிந்திய திரையுலகில் இருந்தார். தமிழ் மற்றும் தெலுங்கு மொழித் தொலைக்காட்சி தொடர்களிலும் நடித்துள்ளார். தற்போது வள்ளியில் ராஜேஸ்வரி என்னும் கதாபாத்திரத்தில் நடித்து வருகிறார்.","லதா 7, ஜூன் 1953ல் இராமநாதபுரத்தில் சண்முக ராஜேஸ்வர சேதுபதி மற்றும் லீலாராணி ஆகியோருக்கு பிறந்தவர்.[1] இவருடைய இயற்பெயர் நளினி என்பதாகும். இவர் சேதுபதி குடும்பத்தில் பிறந்தமையால் லதா சேதுபதி என்றும் அறியப்படுகிறார். நடிகர் ராஜ்குமார் சேதுபதி இவருடைய சகோதரராவார். தன்னுடைய நடனத் திறமையாலும், அழகாலும் தமிழகத் திரையுலகில் நாயகியானார். 1973ல் எம்.ஜி.ஆர் தயாரித்து நடித்த உலகம் சுற்றும் வாலிபன் திரைப்படத்தில் முதன் முதலாக நாயகியாக நடித்தார்[2][3]"
18,ரேவதி,1983,மண்வாசனை,1966-07-08,"கொச்சி, கேரளா, இந்தியா","ரேவதி (Revathy, பிறப்பு: சூலை 8, 1966)[3] தமிழ்த் திரைப்படங்கள், தென்னிந்தியத் தொலைக்காட்சித் தொடர்களில் நடிகையாக அறியப்படுகிறார். மலையாளம், தெலுங்கு மொழித் திரைப்படங்களிலும் நடித்துள்ளார். இந்தி, ஆங்கிலத்தில் திரைப்படங்களை இயக்கியும் உள்ளார். இவர் ஐந்து முறை சிறந்த நடிகைக்கான பிலிம்பேர் விருதினை வென்றுள்ளார்.","ரேவதி, 1966 ஜூலை 8-ல் கேரளத்தின் கொச்சியில் பிறந்தார். இவர் தந்தை கேளுண்ணி. ரேவதி, 1988 ல் சுரேஷ் மேனனைத் திருமணம் செய்தார். பின்னர், 2002 ல் இருவரும் மணமுறிவு பெற்று பிரிந்தனர்."
19,ராதிகா,1978,கிழக்கே போகும் இரயில்,1963-08-21,"கொழும்பு, இலங்கை🇱🇰","இராதிகா சரத்குமார் (Raadhika Sarathkumar, பிறப்பு: ஆகத்து 21, 1963)[1] தென்னிந்திய திரைப்பட நடிகை , தொலைக்காட்சி நடிகை, தயாரிப்பாளர் ஆவார். ராடன் மீடியா (Radaan Media Works (I) Limited) என்ற நிறுவனத்தின் நிறுவனர் ஆவார்,[2] இதன் மூலம் பல தமிழ் திரைப்படங்கள், தென்னிந்தியத் தொலைக்காட்சித் தொடர்கள் தயாரிக்கிறார்.","இலங்கையில் கொழும்பு நகரில் 1963 ஆகத்து 21 இல் நடிகர் எம். ஆர். ராதாவுக்கும், அவரின் மூன்றாம் மனைவி கீதாவிற்கும் பிறந்தவர் ராதிகா. நடிகை நிரோஷா, திரைப்படத் தயாரிப்பாளர் ராதா மோகன் ஆகியோர் இவருடன் உடன்பிறந்தவர்கள் ஆவர். நடிகரும் அரசியல்வாதியுமான ராதாரவி இவருடைய உடன்பிறவா சகோதரர் ஆவார்."
20,சரிதா,,,1960-06-07,"குண்டகல் ஆந்திர பிரதேசம், இந்தியா",சரிதா என்பவர் ஒரு தென்னிந்திய திரைப்பட நடிகை ஆவார். 141 திரைப்படங்களில் நடித்திருக்கிறார். சின்னத்திரை தொடர்களிலும் நடித்து வருகிறார். தமிழின் சிறந்த நடிகைகளில் ஒருவராக கருதப்படுகிறார்.[1][2][3],சரிதா கே. பாலச்சந்தரால் 1978 இல் மரோ சரித்ரா என்ற தெலுங்குப்படத்தில் கதாநாயகியாக அறிமுகப்படுத்தப்பட்டார். தமிழில் சரிதா நடிகையாக அறிமுகமான முதல் படம் 1978 இல் வெளிவந்த அவள் அப்படித்தான். அதில் ஒரு சிறிய கதாபாத்திரத்தில் இவர் நடித்திருந்தார். அதன் பின்னர் கெ.பாலச்சந்தரின் தப்பித தாளா என்ற கன்னடப் படத்தில் அதே ஆண்டு நடித்தார். அந்தப்படம் தப்புத் தாளங்கள் என்ற பேரில் தமிழில் வெளியாகியது
21,ஸ்ரீவித்யா,,,,"சென்னை, தமிழ்நாடு, இந்தியா","சிறீவித்யா (Srividya) (பிறப்பு:1953 - இறப்பு: 2006) ஒரு புகழ்பெற்ற தென்னிந்தியத் திரைப்பட நடிகை ஆவார். கர்நாடக இசை பாடகி எம். எல். வசந்தகுமாரியின் மகளான இவர் 1970களில் இருந்து 2000களின் தொடக்கம் வரை திரைப்படங்களில் நடித்து வந்தார். 2003ஆம் ஆண்டு முதுகெலும்பு புற்று நோயினால் பாதிக்கப்பட்ட இவர் 2006, அக்டோபர் 19ஆம் தேதி அன்று இறந்தார். இவர் இந்திய திரைப்பட நடிகை, மலையாளம், தமிழ், தெலுங்கு, கன்னடம் மற்றும் இந்தி படங்களில் 40 ஆண்டுகளாக பணியாற்றியுள்ளார். இவர் தனது திரைப்பட வாழ்க்கையில் 800 க்கும் மேற்பட்ட படங்களில் நடித்துள்ளார். தனது தொழில் வாழ்க்கையின் பிற்பகுதியில், இவர் மலையாளப் படங்களில் அதிக கவனம் செலுத்தினார்.[1]","நடிப்புக்கு மேலதிகமாக, இவர் எப்போதாவது ஒரு பின்னணி பாடகியாகவும் பணியாற்றினார். மாறுபட்ட உணர்ச்சிகளை சித்தரிப்பதில் கட்டுப்பாடு மற்றும் நுணுக்கத்திற்காக இவர் மிகவும் பிரபலமானவர். இவர் தனது எல்லாத் திரைப்படங்களிலும் எல்லா மொழிகளிலும் ஒலிச்சேர்க்கை செய்ய தனது சொந்த குரலைப் பயன்படுத்தினார். சிறீவித்யாவின் தனிப்பட்ட வாழ்க்கை சோகங்கள் நிறைந்தது. 2006 ஆம் ஆண்டில், 53 வயதில் முதுகெலும்பு புற்றுநோயால் இறந்து போனார்."
22,சுஜாதா,,,1952-12-10,இலங்கை,"சுஜாதா (டிசம்பர் 10, 1952 - ஏப்ரல் 6, 2011) தென்னிந்தியத் திரைப்பட நடிகை ஆவார். இவர் தமிழ், தெலுங்கு, மலையாளம், இந்தித் திரைப்படங்களில் நடித்துள்ளார். தமிழ் சினிமா உலகில் முன்னணி நடிகையாக விளங்கியவர்.","கேரளத்தைப் பூர்வீகமாகக் கொண்ட சுஜாதா அவர்களின் இயற்பெயர் விஜயலட்சுமி இவர் 1952 டிசம்பர் 10ல் இலங்கை, யாழ்ப்பாணத்தில் தெல்லிப்பழை என்ற ஊரில் பிறந்தார். அக்காலத்தில் இந்தியாவில் இருந்து ஆசிரியர்கள் யாழ்ப்பாணம் சென்று பணியாற்றி வந்தார்கள். சுஜாதாவின் தந்தை சங்கரன் மேனன் கேரளத்தில் இருந்து தெல்லிப்பழை மகாஜனக் கல்லூரியில் விலங்கியல் ஆசிரியராக 1956 வரை பணியாற்றினார். பின்னர்         தென்பகுதியில் உள்ள காலியில் பணியாற்றினார். சுஜாதாவும் அங்கு பத்தாம் வகுப்பு வரை படித்துள்ளார். பதினான்காம் வயதில் குடும்பத்துடன் கேரளத்திற்குத் திரும்பினார். அங்கு தனது குடும்பத்தினருடன் குடியேறிய சுஜாதா சிறிது காலம் தையல் வேலை செய்து வந்தார், 1977-ம் ஆண்டில் ஜெயகர் என்பவரை காதல் திருமணம் செய்து கொண்டார். இவர்களுக்கு சஜித் என்ற மகனும், திவ்யா என்ற மகளும் உள்ளனர். திவ்யா மருத்துவராக பணி புரிந்து வருகிறார்."
